id,source,hypothesis,reference,prompt_type,model,llm_score,raw_response
10,"Der digitale Bayern-Atlas ist ein Flickenteppich, den man als solchen nicht gleich erkennt.",The digital Bayern atlas is a patchwork carpet that is not recognized as such.,The digital BayernAtlas is a patchwork quilt that one doesn't quite recognise for what it is at first.,zero_shot,llama-3.1-8b-instant,3,3
11,"In die große Übersichtskarte wurden für Städte und Gemeinden detailliertere Karten, sogenannte Urpositionsblätter, eingearbeitet.","More detailed maps, so-called Urposition sheets, were incorporated into the large overview map for cities and municipalities.","Within the large overview map, were worked in detailed maps for towns and municipalities, so-called original-lay-of-the-land sheets.",zero_shot,llama-3.1-8b-instant,4,4
12,Diese entstanden nach Angaben der Bayerischen Vermessungsverwaltung zwischen 1810 und 1864 und entspringen der ersten Vermessung Bayerns.,"According to the Bavarian survey administration, these were created between 1810 and 1864 and originate from the first survey of Bavaria.","According to information from the Bavarian Surveying and Mapping Authority, these came into being between 1810 and 1864 and arise out of the first survey of Bavaria.",zero_shot,llama-3.1-8b-instant,4,4
13,Ihr Auftraggeber: Napoleon.,Your client: Napoleon.,Their commissioner: Napoleon.,zero_shot,llama-3.1-8b-instant,3,3
14,Der französische Heeresführer besetzte Bayern seit dem Frühjahr 1800 während des Zweiten Koalitionskrieges mit Österreich.,The French army leader occupied Bavaria with Austria since the spring of 1800 during the Second Coalition War.,"The French army commander had occupied Bavaria since the spring in 1800, during the War of the Second Coalition with Austria.",zero_shot,llama-3.1-8b-instant,3,3
15,Napoleon wünschte sich einen Überblick über das besetzte Land und gab eine topographische Aufnahme Bayerns in Auftrag - natürlich zu militärischen Zwecken.,Napoleon wanted an overview of the occupied country and commissioned a topographical photograph of Bavaria - of course for military purposes.,Napoleon wanted to gain an overview of the occupied land and commissioned a topographical survey – naturally for military purposes.,zero_shot,llama-3.1-8b-instant,4,4
16,"Auch wenn die französischen Truppen mit dem Frieden von Lunéville vom 9. Februar 1801 schließlich abzogen: Es waren die heutigen Nachbarn, die die Idee einer flächendeckenden Bayern-Karte kreierten.",Even if the French troops finally withdrew with the peace of Lunéville on 9 February 1801: It was the present-day neighbours who created the idea of a comprehensive Bavaria map.,Even if the French troops finally retreated with the Treaty of Lunéville from 9th February 1801: it was the current neighbours who had the idea to create a comprehensive map of Bavaria.,zero_shot,llama-3.1-8b-instant,4,4
17,"Kurfürst Max IV. Joseph trieb das Projekt weiter voran, gründete das ""Topographische Bureau"" - und damit die Bayerische Vermessungsverwaltung.","Elector Max IV. Joseph continued to advance the project, founded the ""Topographic Bureau"" - and thus the Bavarian Surveying Administration.","Elector Max IV. Joseph propelled the project further forward, founding the ""Topographical Bureau"" – and with that, the Bavarian Surveying and Mapping Authority.",zero_shot,llama-3.1-8b-instant,4,4
18,Das Urpositionsblatt für München stammt aus dem Jahr 1856 und ist wie sämtliche andere auf der Internetseite der Bayerischen Landesbibliothek zu finden.,"The Urpositionsblatt for Munich dates back to 1856 and is, like all others, available on the website of the Bayerische Landesbibliothek.","The original lay-of-the-land sheet for Munich originates from 1856 and, like all the others, can be found on the website of the Bavarian State Library.",zero_shot,llama-3.1-8b-instant,4,4
19,Der Vergleich Früher/Heute ist am Beispiel der Landeshauptstadt am eindrücklichsten.,The comparison earlier/today is most impressive with the example of the state capital.,The comparison of past/present is most impressive taking the example of the state capital.,zero_shot,llama-3.1-8b-instant,4,4
20,Die Stadt hat sich in alle Richtungen ausgedehnt und ist zusammengewachsen.,The city has expanded in all directions and has grown together.,The city has stretched out in all directions and coalesced.,zero_shot,llama-3.1-8b-instant,4,4
21,"Ein Beispiel dafür ist Untersendling, das in der Karte von 1856 noch relativ isoliert auftaucht.","An example of this is Untersendling, which appears in the map of 1856 still relatively isolated.","An example of this is Untersendling, which still appears relatively isolated on the map from 1856.",zero_shot,llama-3.1-8b-instant,4,4
22,"Sendling wurde 21 Jahre nach Erstellung der Karte, also 1877, als Münchner Stadtteil eingemeindet.","Sendling was incorporated as a Munich district 21 years after the map was created, in 1877.",Sendling was incorporated as an urban district of Munich 21 years after the map was created.,zero_shot,llama-3.1-8b-instant,4,4
23,Heute liegt Untersendling mitten in der Stadt.,"Today, Untersendling lies in the middle of the city.","Today, Untersendling lies in the middle of the city.",zero_shot,llama-3.1-8b-instant,4,4
24,"Die Häuser Untersendlings konzentrieren sich um 1856 entlang der heutigen Plinganserstraße, die erst 1878 nach Georg Sebastian Plinganser benannt wurde, einem Anführer des Aufstands der bayerischen Bauern gegen Österreich 1705.","The houses of Untersendling concentrate around 1856 along today's Plinganserstraße, which was named after Georg Sebastian Plinganser in 1878, a leader of the uprising of the Bavarian farmers against Austria in 1705.","Around 1856, Untersendling's houses are concentrated along what is today Plinganserstraße, which was first named in 1878 after Georg Sebastian Plinganser, a ringleader of the Bavarian farmers' revolt against Austria in 1705.",zero_shot,llama-3.1-8b-instant,4,4
25,"Wo heute der Westpark ist, sieht man nichts als Felder - auf den ersten Blick: Beim Hineinzoomen erscheint eine kleinteiligere Karte mit dutzenden Linien und Zahlen: handschriftlich nummerierte Flurstücke aus der sogenannten ""Uraufnahme"", aus der die Grundsteuer abgeleitet wurde.","Where the Westpark is today, you can see nothing but fields - at first glance: When zooming in, a smaller-piece map with dozens of lines and numbers appears: hand-numbered corridor pieces from the so-called ""uptake"" from which the property tax was derived.","Where the West Park is today, one sees nothing but field – at first sight: upon zooming in, a more detailed small-scale map with dozens of lines and numbers appears: hand-numbered plots from the so-called ""original record"", from which the property tax was derived.",zero_shot,llama-3.1-8b-instant,3,3
26,"Kleine Parzellen belegen dort heute keine Landwirte mehr - sondern Kleingärtner der Anlage ""Land in Sonne"".","Small plots do not occupy farmers there anymore - but small gardeners of the plant ""Land in Sonne"".","Today, it is no longer farmers who occupy small parcels there – rather, it is allotment holders of the ""Land in Sonne"" facility.",zero_shot,llama-3.1-8b-instant,3,3
27,Eine große Grünfläche zeichnet sich nördlich von Untersendling ab.,A large green area is visible north of Untersendling.,A large green area is apparent to the north of Untersendling.,zero_shot,llama-3.1-8b-instant,4,4
28,"Die Theresienwiese, seit 1810 Schauplatz des Oktoberfests, war im 19. Jahrhundert tatsächlich noch eine Wiese - und keine Betonwüste.","The Theresienwiese, the venue of the Oktoberfest since 1810, was in fact still a meadow in the 19th century - and not a concrete desert.","Theresienwiese, since 1810 the scene of Oktoberfest, was in the 19th century still actually a ""Wiese"" – a meadow – and not a concrete wasteland.",zero_shot,llama-3.1-8b-instant,4,4
29,Auf der anderen Seite der Isar gibt die historische Karte einen Einblick in die Geschichte der psychiatrischen Medizin.,"On the other side of the Isar, the historical map gives an insight into the history of psychiatric medicine.","On the other side of the Isar, the historical map gives an insight into the history of psychiatric medicine.",zero_shot,llama-3.1-8b-instant,4,4
30,"Im Urpositionsblatt liest man im Gebiet des heutigen Bezirks Au-Haidhausen nicht nur den Straßennamen ""am Gasteig"" oder von der Anhöhe ""Auf der Lüften"" - sondern auch in großen Buchstaben ""Irren Anstalt"".","In the Urpositionsblatt one reads in the area of today's district Au-Haidhausen not only the street name ""am Gasteig"" or from the hill ""Auf der Lüften"" - but also in large letters ""Irren Anstalt"".","In the original lay-of-the-land sheet, in the area where today the borough of Au-Haidhausen is, one can make out not only the street name ""am Gasteig"" or the elevation ""Auf der Lüften"" – but can actually read in large letters ""mental asylum"".",zero_shot,llama-3.1-8b-instant,3,3
31,"Ja, hier an der Auerfeldstraße sperrte man einst Menschen mit Wahnvorstellungen ein.","Yes, here on Auerfeldstraße people were once imprisoned with delusions.","Yes, here on Auerfeldstraße, they once imprisoned people with delusions.",zero_shot,llama-3.1-8b-instant,4,4
32,"Dort war 1858/59 die Münchner Kreis-Irrenanstalt ""Auf der Auer Lüften"" entstanden.","In 1858/59 the Munich Kreis-Irrenanstalt ""Auf der Auer Lüften"" was created.","The Munich district mental asylum ""Auf der Auer Lüften"" had come to life there in 1858/59.",zero_shot,llama-3.1-8b-instant,4,4
33,"Ab 1872 leitete Dr. Bernhard von Gudden die Einrichtung - jener Psychiater, der in Zusammenhang mit dem Tod von König Ludwigs II. gebracht wird.",From 1872 Dr. Bernhard von Gudden headed the institution - that psychiatrist who is brought in connection with the death of King Louis II.,"From 1872, Dr. Bernhard von Gudden led the institution – the psychiatrist who is associated with the death of King Ludwig II.",zero_shot,llama-3.1-8b-instant,3,3
34,"""Er war fortschrittlich für seine Zeit und beendete zum Beispiel das Anketten der sogenannten Irren.","""He was progressive for his time and ended, for example, the chaining of the so-called madmen.","""He was progressive for his time and ended, for example, the practice of chaining up the so-called mad men.",zero_shot,llama-3.1-8b-instant,4,4
35,"Außerdem hat er dem Personal untersagt, Gewalt gegen die Insassen anzuwenden"", sagt Hermann Wilhelm, Leiter des Museums Haidhausen, der sich für eine Ausstellung mit der Anstalt beschäftigt hat.","He also prohibited staff from using violence against the inmates,"" says Hermann Wilhelm, head of the Haidhausen Museum, who worked with the institute for an exhibition.","What is more, he forbade the staff from using violence against the inmates,"" says Hermann Wilhelm, leader of the Haidhausen Museum, which has been busying itself for an exhibition with the establishment.",zero_shot,llama-3.1-8b-instant,4,4
36,"Für 280 Patienten war zunächst Platz gewesen, später wurde auf 500 Plätze erweitert.","For 280 patients there was first place, later it was extended to 500 places.",Originally there was place for 280 patients; later this was expanded to 500 places.,zero_shot,llama-3.1-8b-instant,3,3
37,Irgendwann reichte auch diese Kapazität nicht mehr aus - der Grund für den Bau der Kreisirrenanstalt in Haar 1905.,At some point this capacity was no longer sufficient - the reason for the construction of the Kreisirrenanstalt in Haar 1905.,At some point even this capacity was no longer enough – the reason why the district mental asylum in Haar was constructed in 1905.,zero_shot,llama-3.1-8b-instant,4,4
38,"Dort befindet sich seit 2006 das Isar-Amper-Klinikum München-Ost, eine der größten Psychiatrien Deutschlands.","Since 2006, the Isar-Amper-Klinikum München-Ost, one of the largest psychiatry hospitals in Germany, has been located there.","The Isar Amper Clinic, East Munich, has been located there since 2006, one of the largest psychiatric units in Germany.",zero_shot,llama-3.1-8b-instant,4,4
39,Auf dem Areal der ehemaligen Auer Anstalt begegnen sich nun Jugendliche im Münchner Salesianum.,"On the site of the former Auer Anstalt, young people now meet in the Munich Salesianum.","On the plot of the former Auer institution, young people now meet in the Munich Salesianum.",zero_shot,llama-3.1-8b-instant,4,4
40,Der Orden erwarb den Gebäudekomplex 1920 und wandelte ihn in ein Jugendheim mit Ausbildungsbetrieben um.,The Order acquired the building complex in 1920 and converted it into a youth home with training companies.,The order acquired the building complex in 1920 and converted it into a youth centre with training programmes.,zero_shot,llama-3.1-8b-instant,4,4
41,"Westlich liegt der Fußballplatz des TSV München Ost, östlich Wohnhäuser aus den 1980er Jahren.","West lies the football field of the TSV München Ost, east residential buildings from the 1980s.","To the west lies the football pitch of TSV München Ost, and to the east, residential houses from the 1980s.",zero_shot,llama-3.1-8b-instant,3,3
42,"2015 errichtete man das Kinder-Haus ""Casa Don Bosco"" - in architektonischer Anlehnung an den Ursprungsbau der Irrenanstalt, der im Zweiten Weltkrieg bei Bombenangriffen zerstört worden war.","In 2015, the children's house ""Casa Don Bosco"" was built, based on the original construction of the asylum, which had been destroyed during bombings during the Second World War.","In 2015, the ""Casa Don Bosco"" nursery was built – in the architectural style of the original mental asylum building, which had been destroyed in the Second World War in bomb attacks.",zero_shot,llama-3.1-8b-instant,4,4
43,"Der Marienplatz war um 1856 als ""Haupt Platz"" verzeichnet, die Kaufingerstraße hieß ""Kaufinger Gasse"".","Marienplatz was listed as ""Haupt Platz"" around 1856, the Kaufingerstraße was called ""Kaufinger Gasse"".","Marienplatz was recorded as the ""main square"" in around 1856, and Kaufingerstraße was called ""Kaufinger Gasse"".",zero_shot,llama-3.1-8b-instant,4,4
44,Eine entscheidende Veränderung brachte der Zweite Weltkrieg auch im Herzen Münchens.,The Second World War brought a decisive change also in the heart of Munich.,The Second World War also brought a decisive change to the heart of Munich.,zero_shot,llama-3.1-8b-instant,4,4
45,Die Bomben der Alliierten rissen im Dezember 1944 viele Löcher in die Innenstadt.,The Allies bombed many holes in the city centre in December 1944.,The bombs of the Allies tore many holes in the city centre in December 1944.,zero_shot,llama-3.1-8b-instant,3,3
46,Ein großes blieb bis heute - am Marienhof.,A large one remained to this day - at Marienhof.,One big one remains up to this day – at the Marienhof.,zero_shot,llama-3.1-8b-instant,3,3
47,"Das Englische Institut, kleine Geschäftshäuser und eine Gruftkapelle aus dem Mittelalter standen einst am Marienhof, wo dieser Tage die Vorarbeiten und am 5. April 2017 der Spatenstich für die zweite S-Bahn-Stammstrecke erfolgen.","The English Institute, small business buildings and a medieval tomb chapel once stood at Marienhof, where the preparatory work was carried out these days and the groundbreaking ceremony for the second S-Bahn line on 5 April 2017.","The English Institute, small commercial premises and a crypt chapel from the Middle Ages once stood in the Marienhof, where these days, preparations for the second S-Bahn main line are underway, with first digging to follow on 5th April 2017.",zero_shot,llama-3.1-8b-instant,3,3
48,Mit dem Schieberegler lässt sich die alte München-Karte mit dem Luftbild von heute vergleichen - und das Loch am Marienhof auffüllen.,With the slider you can compare the old Munich map with the aerial picture of today - and fill up the hole at Marienhof.,You can use the slider control to compare the old Munich map with the aerial view from today – and to fill in the hole at the Marienhof.,zero_shot,llama-3.1-8b-instant,4,4
49,Bürgerrechtsgruppe veröffentlicht Reisewarnung für Missouri,Civil Rights Group publishes travel warning for Missouri,Civil rights group issues travel warning for Missouri,zero_shot,llama-3.1-8b-instant,4,4
50,"Die Nationale Vereinigung zur Förderung von Farbigen hat eine Warnung für farbige Menschen ausgestellt, die aufgrund der diskriminierenden Politik und der rassistischen Angriffe des Staates nach Missouri reisen.",The National Federation for the Promotion of Colored People has issued a warning for colored people who travel to Missouri because of the discriminatory policies and racist attacks of the state.,The National Association for the Advancement of Colored People has put out an alert for people of color traveling to Missouri because of the state's discriminatory policies and racist attacks.,zero_shot,llama-3.1-8b-instant,4,4
51,"""Die NAACP Travel Advisory für den Bundesstaat Missouri, die bis zum 28. August 2017 in Kraft treten soll, fordert afro-amerikanische Reisende, Besucher und Missourianer auf, bei Reisen durch den Staat besondere Aufmerksamkeit aufzubringen und äußerste Vorsicht walten zu lassen, da eine Reihe von fragwürdigen, rassenbasierten Vorfällen in letzter Zeit im gesamten Staat vorkommen und hier vermerkt werden"", heißt es in der Stellungnahme der Gruppe.","""The NAACP Travel Advisory for the State of Missouri, which is due to enter into force by 28 August 2017, calls on African-American travelers, visitors and Missourins to pay special attention to travel through the state and to exercise extreme caution, as a number of questionable, racial-based incidents have recently occurred throughout the state and are noted here,"" says the Group's opinion.","""The NAACP Travel Advisory for the state of Missouri, effective through August 28th, 2017, calls for African American travelers, visitors and Missourians to pay special attention and exercise extreme caution when traveling throughout the state given the series of questionable, race-based incidents occurring statewide recently, and noted therein,"" the group's statement reads.",zero_shot,llama-3.1-8b-instant,4,4
52,"Ein kürzlich verabschiedetes Gesetz von Missouri, das es Menschen schwerer macht, Diskriminierungsklagen zu gewinnen, sowie die Strafverfolgungsbehörden des Staates, die unverhältnismäßig auf Minderheiten abzielen, veranlassten die Gruppe, die Reisewarnung herauszugeben, sagte die NAACP.","A recent Missouri law that makes it harder for people to win discrimination lawsuits, as well as the state's law enforcement agencies that aim disproportionately at minorities, prompted the group to issue the travel warning, said NAACP.","A recent Missouri law making it harder for people to win discrimination lawsuits, as well as the state's law enforcement disproportionately targeting minorities prompted the group to issue the travel alert, the NAACP said.",zero_shot,llama-3.1-8b-instant,4,4
53,"""Sie haben Verletzungen der Bürgerrechte, die Menschen passieren.","""They have violations of civil rights that happen to people.","""You have violations of civil rights that are happening to people.",zero_shot,llama-3.1-8b-instant,3,3
54,"Sie werden wegen ihrer Hautfarbe angehalten, sie werden zusammengeschlagen oder getötet"", sagte der Präsident des Missouri NAACP, Rod Chapel, dem Kansas City Star.","They are stopped because of their skin color, they are beaten up or killed,"" said the President of the Missouri NAACP, Rod Chapel, the Kansas City Star.","They're being pulled over because of their skin color, they're being beaten up or killed,"" the president of the Missouri NAACP, Rod Chapel, told The Kansas City Star.",zero_shot,llama-3.1-8b-instant,4,4
55,"""Wir hören Beschwerden in einer solchen Häufigkeit, die wir noch nicht gehört haben.""","""We hear complaints in such a frequency that we haven't heard yet.""","""We are hearing complaints at a rate we haven't heard before.""",zero_shot,llama-3.1-8b-instant,3,3
56,"Es ist die erste solche Warnung, die die Organisation für einen Staat in den USA ausgestellt hat.",It is the first such warning issued by the organization for a state in the United States.,It is the first such warning that the organization has issued for a state in the US.,zero_shot,llama-3.1-8b-instant,4,4
57,"Die Gruppe zitierte Vorfälle wie rassistische Vergehen gegen schwarze Studenten an der University of Missouri und den Tod von Tory Sanders, 28, einem schwarzen Mann aus Tennessee.","The group cited incidents such as racist crimes against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.","The group cited incidents such as racial slurs against black students at the University of Missouri and the death of Tory Sanders, 28, a black man from Tennessee.",zero_shot,llama-3.1-8b-instant,4,4
58,"Sanders starb unter fragwürdigen Umständen Anfang des Jahres, nachdem er während der Reise durch den Staat kein Benzin mehr hatte und von der Polizei von Missouri in Gewahrsam genommen wurde, ohne eines Verbrechens beschuldigt zu werden.",Sanders died in dubious circumstances at the beginning of the year after he had no more fuel while traveling through the state and was taken into custody by the Missouri police without being accused of a crime.,"Sanders died under questionable circumstances earlier this year after he ran out of gas while traveling through the state, and was taken into custody by Missouri police without being accused of a crime.",zero_shot,llama-3.1-8b-instant,4,4
59,"Der Rat weist auch auf einen kürzlich erschienenen Bericht des Büros des Generalstaatsanwaltes von Missouri hin, in dem gezeigt wird, dass schwarze Autofahrer im Staat 75 Prozent häufiger als Weiße angehalten werden.","The Council also notes a recent report from the Missouri Attorney General's Office, which shows that black drivers in the state are stopped 75 percent more often than whites.",The advisory also points to a recent report by the Missouri Attorney General's Office showing that black drivers in the state were 75 percent more likely to be pulled over than whites.,zero_shot,llama-3.1-8b-instant,4,4
60,"""Die Empfehlung ist, dass sich die Menschen bewusst sind und ihre Familien, Freunde und Mitarbeiter darüber informieren, was in Missouri passieren könnte"", sagte Chapel.","""The recommendation is that people are aware and inform their families, friends and employees about what might happen in Missouri,"" said Chapel.","""The advisory is for people to be aware, and warn their families and friends and co-workers of what could happen in Missouri,"" Chapel said.",zero_shot,llama-3.1-8b-instant,4,4
61,"""Die Leute müssen bereit sein, ob es Kautionsgeld mitbringen oder die Verwandten wissen lassen, dass sie durch den Staat reisen.""","""People need to be ready to bring bail money or let the relatives know they're traveling through the state.""","""People need to be ready, whether it's bringing bail money with them, or letting relatives know they are traveling through the state.""",zero_shot,llama-3.1-8b-instant,4,4
62,"Missouri verzeichnete im Jahr 2015 100 Hassverbrechen, nach den neuesten Zahlen aus dem Hassverbrechens-Berichtsprogramm des FBI, die den Staat in Bezug auf die Anzahl solcher Verletzungen auf den 16. Rang des Landes einstufen.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, which ranked the state 16th in terms of the number of such violations.","Missouri recorded 100 hate crimes in 2015, according to the latest figures from the FBI's hate crime reporting program, ranking the state at 16th in the country in terms of the number of such violations.",zero_shot,llama-3.1-8b-instant,4,4
63,"Die Reisewarnung ist auch eine Antwort auf ein neues Missouri-Gesetz, das es schwieriger machen würde, ein Unternehmen wegen Wohnungs- oder Beschäftigungs-Diskriminierung zu verklagen.",The travel warning is also a response to a new Missouri law that would make it more difficult to sue a company for housing or employment discrimination.,The travel warning is also a response to a new Missouri law that would make it more difficult to sue a business for housing or employment discrimination.,zero_shot,llama-3.1-8b-instant,4,4
64,"Zuvor hatte die American Civil Liberties Union (ACLU) Reisewarnungen für Texas und Arizona herausgegeben, nachdem die Staaten Einwanderungsgesetze verabschiedet hatten, die lokale Strafverfolgungsbehörden dazu verpflichten, Menschen wegen Zuwanderungsverstößen zu verhaften, was nach Ansicht der ACLU zur weiteren Rassenprofilierung beitragen wird.","Previously, the American Civil Liberties Union (ACLU) issued travel warnings for Texas and Arizona after the states passed immigration laws that oblige local law enforcement agencies to arrest people for immigration violations, which, according to the ACLU, will contribute to further racial profiling.","Previously, the American Civil Liberties Union (ACLU) had issued travel advisories for Texas and Arizona after the states passed immigration enforcement laws requiring local law enforcement to detain people on immigration violations which the ACLU said would increase racial profiling.",zero_shot,llama-3.1-8b-instant,4,4
65,"Reisewarnungen werden in der Regel vom Außenministerium für andere Länder ausgestellt, aber in letzter Zeit haben Interessengruppen die Maßnahme als Reaktion auf bestimmte Gesetze und Trends innerhalb der USA eingesetzt.","Travel warnings are usually issued by the Ministry of Foreign Affairs for other countries, but recently, interest groups have used the measure as a response to certain laws and trends within the US.","Travel warnings are usually issued by the State Department for other countries, but lately, advocacy groups have resorted to the measure in response to certain laws and trends inside the US.",zero_shot,llama-3.1-8b-instant,4,4
66,Weidezaunprojekt ist elementar,Pasture fence project is elementary,Pasture fence project is fundamental,zero_shot,llama-3.1-8b-instant,3,3
67,Das Fischerbacher Weidezaun-Projekt ist ein Erfolgsprojekt und wird im kommenden Jahr fortgesetzt.,The Fischerbach Weidezaun project is a successful project and will continue next year.,The Fischerbach pasture fence project is a successful project and will be continued next year.,zero_shot,llama-3.1-8b-instant,4,4
68,Die CDU-Bundestagsabgeordneten Peter Weiß und Kordula Kovac haben sich vor Ort ein Bild verschafft.,The CDU MPs Peter Weiß and Kordula Kovac got a picture on site.,Members of the Bundestag for the CDU Peter Weiß and Kordula Kovac got a first-hand view.,zero_shot,llama-3.1-8b-instant,3,3
69,Beim Rechtgrabenhof der Familie Schwendemann trafen sich Vertreter des Fischerbacher CDU-Ortsverbands zusammen mit Bürgermeister Thomas Schneider und den beiden Abgeordneten.,Representatives of the Fischerbach CDU-Ortsverband met with Mayor Thomas Schneider and the two deputies at the right-graben court of the Schwendemann family.,"Representatives from the Fischerbach local CDU group met with mayor Thomas Schneider and the two representatives at Rechtgrabenhof farm, belonging to the Schwendemann family.",zero_shot,llama-3.1-8b-instant,3,3
70,"Markus Schwendemann gewährte zunächst Einblicke in seinen Betrieb, in dem er 55 Hektar Wiesen und 40 Hektar Wald bewirtschaftet, 40 Milchkühe und ebenso viele Jungtiere versorgt und in fünf Wohnungen Feriengäste beherbergt.","Markus Schwendemann first provided insights into his company, where he cultivates 55 hectares of meadows and 40 hectares of forest, supplies 40 dairy cows and as many young animals and accommodates holiday guests in five apartments.","To start with, Markus Schwendemann gave insights into his business, in which he cultivates 55 hectares of pasture and 40 hectares of woodland, keeps 40 milk cows and just as many young stock, and accommodates five apartments of holiday makers.",zero_shot,llama-3.1-8b-instant,4,4
71,"Die ""Schwarzwaldmilch"" ist für ihn der alternativlose Vermarktungsweg für die Milch seiner Kühe, so Schwendemann.","For him, ""Schwarzwaldmilch"" is the alternative marketing route for the milk of his cows, says Schwendemann.","Schwendemann says that, for him, there is no alternative to the ""Black Forest milk"" marketing channel he uses for the milk from his cows.",zero_shot,llama-3.1-8b-instant,4,4
72,Auf den Tisch der Feriengäste kommt ausschließlich Regionales.,On the table of the holiday guests comes exclusively regional.,Only regional produce is served to the holiday-makers.,zero_shot,llama-3.1-8b-instant,3,3
73,"Da er auch BLHV-Vorsitzender von Fischerbach ist, bezeichnete er das Weidezaunprojekt als ""elementar wichtig"".","Since he is also Chairman of the BLHV of Fischerbach, he described the willow fence project as ""elementary important"".","Since he is also BLHV chairman for Fischerbach, he described the pasture fence project as ""fundamentally important"".",zero_shot,llama-3.1-8b-instant,4,4
74,Ich kann auf derart steilen Flächen nicht gewinnbringend wirtschaften.,I cannot operate profitably on such steep areas.,I can't make a profit on that kind of steep-sloping ground.,zero_shot,llama-3.1-8b-instant,4,4
75,"Die Grünlandfläche sorge für viel Arbeit, vieles müsse mit der Motorsense bearbeitet werden.","The grassland area ensures a lot of work, much has to be done with the engine sense.","Grassland areas make for a lot of work, a lot has to be done with the string trimmer.",zero_shot,llama-3.1-8b-instant,3,3
76,"""Wir haben hier mit den Bedingungen und mit der Topografie zu kämpfen"", betonte Schwendemann.","""We have to fight with the conditions here and with the topography,"" Schwendemann emphasized.","""We have to grapple with the conditions and with the topography here,"" stressed Schwendemann.",zero_shot,llama-3.1-8b-instant,4,4
77,"2003 habe er den elterlichen Betrieb übernommen und bewirtschafte diesen ohne chemischen Pflanzenschutz und Dünger, auch wenn er keinen Biobetrieb führe.","In 2003 he took over the parental holding and managed it without chemical plant protection and fertiliser, even if he did not run a bio-farm.","In 2003, he took over his parents' business and he manages this without chemical crop protection and fertilisers, even if it's not an organic farm that he's running.",zero_shot,llama-3.1-8b-instant,4,4
78,"Für Bürgermeister Thomas Schneider war klar: ""Die Kommune hat die Bedeutung des Weidezaunprojekts erkannt und ist froh über die Leader-Förderung"".","For Mayor Thomas Schneider, it was clear: ""The municipality recognized the importance of the willow fence project and is happy about the Leader funding"".","For Mayor Thomas Schneider, it was clear that ""the community has recognised the importance of the pasture fence project and is happy to have the Leader funding"".",zero_shot,llama-3.1-8b-instant,4,4
79,Bei Kosten von 3000 bis 4000 Euro pro Hektar müssten die Landwirte unterstützt werden.,Farmers would have to be supported at a cost of between EUR 3000 and EUR 4000 per hectare.,The farmers need support to the tune of 3000 to 4000 euros per hectare.,zero_shot,llama-3.1-8b-instant,4,4
